NamaSPPG,Alamat,Tanggal Opsnal,Provinsi,wilayah,Nama Kepala,Nama Yayasan,Latitude,Longitude
SPPG Bekasi Cibitung Wanasari 4,"Kampung Selang Nangka Rt 002/009 Desa Wanasari Kecamatan Cibitung Kab. Bekasi, Jawa Barat",07-10-2025,JAWA BARAT,Wilayah II,Vaisal Raju Daniel Siahaan,,-6.25805,107.09067
SPPG Karawang Cilamaya Wetan Cilamaya,"Jl. Raya Barahan, Desa Cilamaya, Kec. Cilamaya Wetan, Kab. Karawang, Jawa Barat.",07-10-2025,JAWA BARAT,Wilayah II,Dhimas Andikha Rahman,,-6.25031,107.59658
SPPG Karawang Majalaya Majalaya,"Jl. H. Abdul Halim, Majalaya, Majalaya, Karawang, Jawa Barat ",07-10-2025,JAWA BARAT,Wilayah II,Siti Sarah Mawaddah,,-6.30194,107.36699
SPPG Karawang Cikampek Cikampek Barat 3,"Jl. Pd. Lele, Cikampek Barat, Kec. Cikampek, Kab. Karawang, Jawa Barat",07-10-2025,JAWA BARAT,Wilayah II,Yana Wijaksana Sofyan,,-6.42207,107.42949
SPPG Kota Bekasi Bekasi Timur Durenjaya 3,"Kampung Cerewed, Rt.003, Rw.016, Kel. Duren Jaya, Kecamatan Bekasi Timur, Kota Bekasi, Jawa Barat",07-10-2025,JAWA BARAT,Wilayah II,Felix Khalasnikov Napitupulu,,-6.22941,107.02831
SPPG Majalengka Majalengka Tonjong,"Jl. Kh. Abdul Halim 403 , Tonjong, Kecamatan Majalengka, Kabupaten Majalengka, Jawa Barat",07-10-2025,JAWA BARAT,Wilayah II,Romadon Panji Nugroho,,-6.8311,108.2413
SPPG Bogor Pamijahan Gunungbunder II ,JL. ABDUL FATAH KP. CIBITUNG,07-10-2025,JAWA BARAT,Wilayah II,Muhammad Vicky Zulfikar,,-6.61609,106.69502
SPPG Kuningan Ciawigebang Sidaraja 3,"Jl. Pamas Desa Sidaraja Kecamatan Ciawigebang Kabupaten Kuningan, Jawa Barat",07-10-2025,JAWA BARAT,Wilayah II,Dimas,,-6.99005,108.5706
SPPG Bogor Cijeruk Cipelang 2,"Kelurahan Cipelang, Kecamatan Cijeruk, Kabupaten Bogor, Jawa Barat",07-10-2025,JAWA BARAT,Wilayah II,Ahmad Candra Prakasa,,-6.69282,106.79339
SPPG Bekasi Cibarusah Wibawamulya,"Perum KSB Grande 3 Jl Iguana Blok i 62, No 1 dan 2, Kel Wibawamulya Kec. Cibarusah Kab. Bekasi Jawa Barat",07-10-2025,JAWA BARAT,Wilayah II,Kastro Bronson Lubis,,-6.41447,107.10708
SPPG Sumedang Cisarua Kebonkalapa,"Jl. Pangeran Bungsu No. 05, Kebonkalapa, Kecamatan Cisarua, Kabupaten Sumedang, Jawa Barat",07-10-2025,JAWA BARAT,Wilayah II,Riki Sugiarto,,-6.82644,107.96462
SPPG Kuningan Cigandamekar Sangkanurip,"Jl. Raya Eyang Kyai Hasan Maulani Blok Gayam, Sangkanhurip, Kecamatan Cigandamekar, Kabupaten Kuningan, Jawa Barat",07-10-2025,JAWA BARAT,Wilayah II,Danny Rachman,,-6.97629,108.51458
SPPG Kota Tasikmalaya Cihideung Tugujaya 3,"Jl. Paseh Gang Sukasari No. 08, Tugujaya, Kecamatan Cihideung, Kota Tasikmalaya, Jawa Barat",07-10-2025,JAWA BARAT,Wilayah II,Ilham Pazaesa Sarumpaet,,-7.33342,108.21488
SPPG Bogor Cileungsi Cileungsi Kidul,"Jl.Raya Cileungsi Jonggol Km 1, Cileungsi, Bogor, Cileungsi Kidul, Kec. Cileungsi, Kab. Bogor, Jawa Barat",07-10-2025,JAWA BARAT,Wilayah II,Desi Fraditiya,,-6.40598,106.97683
SPPG Ciamis Ciamis Kertasari 1,Jalan Ahmad Yani No.221 RT 002 RW 002,08-04-2025,JAWA BARAT,Wilayah II,Yuda Permana Wijaya,Yayasan Arroja Alarif Ciamis,-6.23918,106.99375
SPPG Bandung Barat Parongpong Cihanjuang 2,"Jl. Mentari Pagi/Jl. Katumiri Utama Kelurahan/Desa Cihanjuang, Kecamatan Parongpong, Kabupaten Bandung Barat, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Muhammad Rizal Nurdin,,-6.80339,107.57992
SPPG Garut Cibiuk Majasari,"Kampung Ciawi Rt 02 Rw 08 , Majasari, Cibiuk, Kab. Garut, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Lulu Nurhasanah,,-7.0509,107.94692
SPPG Ciamis Ciamis Sindangrasa,"Jl. Jendral Sudirman No 15 Link. Jati Rt.02 Rw.07 Kel. Sindangrasa Kec. Ciamis Kab. Ciamis, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Muhammad Rifaldy Vadhilath Rancis,,-7.32631,108.3496
SPPG Majalengka Maja Maja Selatan,"Jl. Maja Selatan, Blok Senin Rt/Rw 002/003 Desa Maja Selatan Kecamatan Maja, Kab. Majalengka, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Muhammad Za`Im Umam Al-Ghifary,,-6.89204,108.30921
SPPG Bekasi Cibitung Wanasari 3,Jl. Cendana Raya 17 Wanasari Kecamatan Cibitung Kabupaten Bekasi Jawa Barat ,08-09-2025,JAWA BARAT,Wilayah II,Niko Edi Purnomo,,-6.24316,107.0899
SPPG Bandung Margahayu Sukamenak 2,"Jl. Sukamenak Nomor 3, Desa/Kelurahan Sukamenak, Kecamatan Margahayu, Kabupaten Bandung, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Ronaldo Siregar,,-6.96925,107.58809
SPPG Cirebon Plumbon Kebarepan 3,"Jl. Raya Kebarepan No 6, Kebarepan, Plumbon, Kab. Cirebon, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Regiana Sofwan Al Rasyid,,-6.70102,108.48172
SPPG Cirebon Gempol Kempek 2,"Jl. Tunggal Pegagan Kempek, Kempek, Kec. Gempol, Kabupaten Cirebon, Jawa Barat 45161",08-09-2025,JAWA BARAT,Wilayah II,Intan Andreyani,,-6.69762,108.40043
SPPG Kota Bandung Bandung Kulon Warung Muncang 2,"Jl. Suryani No.26, Warung Muncang, Bandung Kulon, Kota Bandung, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Fakhri Nur Ramdani,,-6.92066,107.5791
SPPG Bandung Barat Padalarang Padalarang 3,"Kampung Cipadang Manah Rt. 003 Rw. 016, Padalarang, Kabupaten Bandung Barat, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Daniel Simanjorang,,-6.84788,107.46643
SPPG Kuningan Garawangi Lengkong,"Jl. Raya Lengkong Desa Lengkong Kecamatan Garawangi, Kab. Kuningan, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Bambang Hari Murti,,-6.99323,108.51644
SPPG Karawang Lemahabang Kedawung 3,"Jl. Kedawung Dusun Lampean 2 Rt.002/Rw.001 Desa Kedawung Kec. Lemahabang, Kab. Karawang , Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Desi lestari,,-6.29549,107.442
SPPG Pangandaran Pangandaran Wonoharjo,"Dusun Wonoharjo, Kecamatan Pangandaran,  Kabupaten Pangandaran, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Itsar Yugho Haritstonardhen,,-7.6768,108.63107
SPPG Bandung Banjaran Margahurip,"Jl. Kebon Kelapa Rt 001/Rw 008, Desa Margahurip, Kecamatan Banjaran, Kabupaten Bandung, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,"Muhammad Farhan Ridwan,S.Sos",,-7.0605,107.56446
SPPG Bogor Tenjolaya Tapos Ii,"Kampung Tapos Lebak Rt. 02 Rw. 03, Tapos II, Tenjolaya, Kab. Bogor, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Neeta Ranysha Megawati Muchtar,,-6.69521,106.87617
SPPG Kota Sukabumi Citamiang Citamiang,"Jl. Pemuda 2 Kopti Citamiang Rt 001 Rw 006, Desa Citamiang, Kec Citamiang, Kota Sukabumi, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Ali Muhamad Faelandi Maulana,,-6.93989,106.9268
SPPG Garut Cisewu Pamalayan,"Jl. Raya Cisewu Rt. 001 Rw. 007 Desa Pamalayan Kec. Cisewu Kab. Garut, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Aceng Nuryaman,,-7.38572,107.49747
SPPG Cianjur Campaka Sukajadi 2,"Jl. Raya Warung Bitung Desa Sukajadi Kecamatan Campaka, Kabupaten Cianjur, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,"Egi Rustandi, S.AP",,-7.00004,107.14192
SPPG Garut Bungbulang Hegarmanah,"Kampung Banjarsari Rt 002 Rw 003 Desa Hegarmanah Kec. Bungbulang Kab. Garut, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Bagus Ismail,,-7.40407,107.86971
SPPG Garut Wanaraja Wanamekar 3,"Wanamekar, Kec Wanaraja, Kabupaten Garut, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Doni Junaedi,,-7.17943,107.9847
SPPG Bandung Baleendah Baleendah 4," Jl. Situ Sipatahunan, Kampung Babakan Nangsi, RT.07/RW.04, Kelurahan Baleendah, Kecamatan Baleendah, Kabupaten Bandung, Provinsi Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Mohamad Rifki Hanafi,,-7.01208,107.62916
SPPG Kota Bekasi Pondokgede Jatiwaringin 5,"Jl. Gamprit Raya No.23, RT.001/RW.007, Jatiwaringin, Kec. Pd. Gede, Kota Bks, Jawa Barat 17411",08-09-2025,JAWA BARAT,Wilayah II,Rahmawita Sugesti,,-6.27736,106.91403
SPPG Karawang Karawang Timur Warungbambu,"Jl. Surotokunto, Dusun Krajan II Rt.008/Rw.002 , Desa Warung Bambu, Kecamatan Karawang Timur, Kabupaten Karawang, Provinsi Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Willer Fidencius Silaban,,-6.32745,107.32954
SPPG Tasikmalaya Tanjungjaya Cilolohan 2,"Kampung Cilolohan Kec. Tanjungjaya Kab. Tasikmalaya, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Moh. Dzikri Awwaludin Siddik,,-7.40302,108.16334
SPPG Subang Pagaden Kamarung 2,"Jl. Bumi Pagaden Permai Blok A, Kamarung, Pagaden, Kab. Subang, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Dodi Damara,,-6.46033,107.81638
SPPG Kuningan Kuningan Awirarangan 2,"Jl. Jendral Sudirman No.125 Rt. 005 Rw. 006 Kel. Awirarangan, Kecamatan Kuningan, Kabupaten Kuningan, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Abhijata Kartika Silananda,,-6.9839,108.48299
SPPG Cirebon Mundu Penpen,Jl. Simaja Dusun Dangder RT. 001 RW. 001 Desa Penpen Kecamatan Mundu Kabupaten Cirebon,08-09-2025,JAWA BARAT,Wilayah II,Sri Rahayu,,-6.7906,108.57897
SPPG Sukabumi Kabandungan Tugubandung,"Kampung Tugubandung, Desa Tugubandung, Kecamatan Kabandungan, Kabupaten Sukabumi, Provinsi Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Febi Prayoga,,-6.80778,106.62551
SPPG Sumedang Situraja Cijati 2,"Jl. Raden Umar Wirahadikusumah No.69, Cijati , Kec. Situraja, Kabupaten Sumedang, Jawa Barat ",08-09-2025,JAWA BARAT,Wilayah II,Diki Abdullah,,-6.84077,108.02114
SPPG Bekasi Cikarang Pusat Jayamukti 2,"Jl. Tapir Raya Kampung Rawa Sentul Rt 002/Rw 004, Jayamukti, Cikarang Pusat, Kabupaten Bekasi, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Ahmad Faisal,,-6.32027,107.16506
SPPG Purwakarta Jatiluhur Mekargalih,"Jl. Stasiun Ciganea No 9 Rt 07/03 Ds Mekargalih Kec. Jatiluhur Kab.Purwakarta, Mekargalih Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Muhammad Zakki,,-6.5708,107.4317
SPPG Bekasi Bojongmangu Sukabungah,"Kampung Tegal Sumur Rt.07 Rw.03, Sukabungah, Bojongmangu, Kabupaten Bekasi, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Tina Nurul Fauzyah,,-6.4142,107.1906
SPPG Subang Patokbeusi Rancamulya,"Jl. Simpang, Rancamulya, Kec. Patokbeusi, Kab. Subang, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Nande Bramantyo,,-6.38571,107.63357
SPPG Bandung Rancaekek Bojongloa,"Kampung Walini Rt 10 Rw 13, Bojongloa, Rancaekek, Kab. Bandung, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Muhammad Andri Lubis,,-6.95945,107.76629
SPPG Kota Bandung Cicendo Sukaraja,"Jl. Karamiharja 9 , Sukaraja, Cicendo, Kota Bandung, Jawa Barat",08-09-2025,JAWA BARAT,Wilayah II,Muhammad Rizki Aldiyo Ramadhan,,-6.89304,107.56348
SPPG Garut Karangpawitan Karangsari,"Kampung Bojongkalapa RT. 03 RW. 05 Desa Karangsari, Kec. Karangpawitan Kabupaten Garut, Jawa Barat",08-10-2025,JAWA BARAT,Wilayah II,Samsul Romli,,-6.24249,107.20622
SPPG Bandung Ciwidey Ciwidey,"Jl. Bhayangkara, Kecamatan Ciwideuy, Kelurahan Ciwideuy, Kab. Bandung, Jawa Barat",08-10-2025,JAWA BARAT,Wilayah II,Riki Saenafulloh,,-7.10254,107.46263
SPPG Karawang Majalaya Pasirmulya,"Dusun Kalimulya Rt.001/001, Pasirmulya, Kec. Majalaya, Kab. Karawang, Jawa Barat",08-10-2025,JAWA BARAT,Wilayah II,Muhammad Rizky Felani,,-6.33368,107.35339
SPPG Bogor Megamendung Cipayung,"Puncak Rd No.51, Rt.02 Rw.Rw.03, Cipayung Datar, Kec. Megamendung, Kab. Bogor, Jawa Barat",08-10-2025,JAWA BARAT,Wilayah II,Iqhbal Ladzuardi,,-6.65147,106.88557
SPPG Sumedang Tanjungsari Gudang 2,Dusun Cikupa No 12 Rt 002 Rw 007 Desa Gudang Kecamatan Tanjungsari Kabupaten Sumedang Jawa Barat,08-10-2025,JAWA BARAT,Wilayah II,Fajar Abdul Aziz,,-6.89606,107.80758
SPPG Bogor Parung Panjang Cibunar,"Kampung Rancabelut Rt 01 Rw 08, Cibunar, Kec. Parung Panjang, Kab. Bogor, Jawa Barat",08-10-2025,JAWA BARAT,Wilayah II,Rian Azhari Situmorang,,-6.33872,106.56166
SPPG Bekasi Serang Baru Jayamulya 2,"Jl. Cendrawasih Rt.006/Rw.004 Jayamulya Kecamatan Serang Baru, Kab. Bekasi, Jawa Barat",08-10-2025,JAWA BARAT,Wilayah II,Tiara Aprilia Fauzianti Hamzah,,-6.42074,107.06764
SPPG Karawang Karawang Barat Karangpawitan 2,"Jl. Cianjur No. 13B Kelurahan Karangpawitan Kec. Karawang Barat Kab. Karawang, Jawa Barat",08-10-2025,JAWA BARAT,Wilayah II,Muhammad Ridha Fairus,,-6.29741,107.30136
SPPG Garut Cikajang Simpang,"Kampung Cihideng Rt. 007 Rw. 006 , Simpang, Kec. Cikajang, Kab. Garut, Jawa Barat",08-10-2025,JAWA BARAT,Wilayah II,Irwansyah,,-7.34119,107.79961
SPPG Bandung Margaasih Rahayu,"Tamanrahayu 4 Blok C 3 No 8, Rahayu, Kec. Margaasih, Kab. Bandung, Jawa Barat",08-10-2025,JAWA BARAT,Wilayah II,Muhamad Adryan Syahrulloh,,-6.96149,107.55976
SPPG Cianjur Cianjur Nagrak 2,"Jl. Abdullah Bin Nuh, No 11, Nagrak ,Kec. Cianjur, Kab. Cianjur, Jawa Barat",08-10-2025,JAWA BARAT,Wilayah II,Aldi Renaldi,,-6.82612,107.12714
SPPG Bekasi Babelan Bahagia,"Jl. Ujung Harapan No.30, Rt.3/Rw.14, Bahagia, Kec. Babelan, Kabupaten Bekasi, Jawa Barat 17610",08-10-2025,JAWA BARAT,Wilayah II,Muhammad Hafadz Raihan,,-6.19025,107.01715
SPPG Sukabumi Kadudampit Sukamanis,"Kampung Kebon Kawung Rt.34 Rw.08, Sukamanis, Kecamatan Kadudampit, Kabupaten Sukabumi, Jawa Barat",08-10-2025,JAWA BARAT,Wilayah II,Adam Ghifari,,-6.87273,106.91001
SPPG Bogor Tenjo Babakan,"Jl. Raya Manunggal XIX, Babakan, Kec. Tenjo, Kab. Bogor, Jawa Barat",08-10-2025,JAWA BARAT,Wilayah II,Raka Desrafiatna,,-6.35743,106.47386
SPPG Bekasi Serang Baru Sukasari 2,"Sukasari, Kec. Serang Baru, Kab. Bekasi, Jawa Barat",08-10-2025,JAWA BARAT,Wilayah II,Yusuf Indriyanto,,-6.37259,107.10533
SPPG Sumedang Tanjungsari Tanjungsari 2,"Jl. Kenanga No 42 Dusun Kebonhui, Tanjungsari, Kec. Tanjungsari, Kab. Sumedang Jawa Barat 45362",08-10-2025,JAWA BARAT,Wilayah II,Fajar Ramadan,,-6.89989,107.80314
SPPG Karawang Purwasari Cengkong,"Perum Griya Sinarmas Karawang Dusun Dapur Areng Rt. 03/02 Desa Cengkong Kecamatan Purwasari Kabupaten Karawang, Jawa Barat",08-10-2025,JAWA BARAT,Wilayah II,Rike Rahmayanti,,-6.37011,107.41138
SPPG Sukabumi Palabuhanratu Jayanti,"Kampung Jayanti Rt 001 Rw 004, Desa Jayanti, Kecamatan Palabuhanratu Kabupaten Sukabumi, Jawa Barat",08-10-2025,JAWA BARAT,Wilayah II,Muhammad Ripjan,,-6.96231,106.7953
SPPG Bandung Dayeuhkolot Cangkuang Kulon 2,"Jl. Terusan Cibaduyut No.103 Rt 002/Rw 003 Desa, Cangkuang Kulon Kec. Dayeuhkolot Kab. Bandung, Jawa Barat",08-10-2025,JAWA BARAT,Wilayah II,M. Fadillah Aditya F,,-6.96855,107.59132
SPPG Bogor Cigombong Cigombong,"Kampung Cigombong Lido Rt 03 Rw 01, Kec. Cigombong, Kab. Bogor, Jawa Barat",08-10-2025,JAWA BARAT,Wilayah II,Muhammad Fauzan,,-6.74016,106.80349
SPPG Kuningan Japara Japara,"Dusun Pon Rt 12 Rw 06 Desa Japara Kecamatan Japara Kabupaten Kuningan, Jawa Barat",08-10-2025,JAWA BARAT,Wilayah II,Adi Iswandi,,-6.92584,108.52554
SPPG Bekasi Tambun Selatan Setiamekar 6,"Kampung Bulu No 5 Rt 004/ Rw 025, Desa Setiamekar, Tambun Selatan Kabupaten Bekasi, Jawa Barat",08-10-2025,JAWA BARAT,Wilayah II,Ahmad Saiful Umar,,-6.2527,107.04618
SPPG Kota Bogor Bogor Barat Curug Mekar 2,"Jl. Sedap Malam Raya No.35, Rt.01/Rw.08, Curugmekar, Kecamatan Bogor Barat Kota Bogor, Jawa Barat ",08-10-2025,JAWA BARAT,Wilayah II,Islah Aditya Saputra,,-6.56176,106.77492
SPPG Cirebon Ciledug Ciledug Lor 2,"Jl. Kapten Piere Tendean, Ciledug Lor, Kec. Ciledug, Kab. Cirebon, Jawa Barat",08-10-2025,JAWA BARAT,Wilayah II,Lia Widianingsih,,-6.9007,108.75504
SPPG Bogor Jonggol Jonggol 2,Jl. Kp. Bengkok RT. 002/ RW 009,09-04-2025,JAWA BARAT,Wilayah II,Hema Restu Tasyiban,Yayasan Al Mastani,-6.43398,106.77879
SPPG Bekasi Tambun Selatan Setaiamekar 2,Kp kedung gede jalan manunggal rt 01 rw 016 desa setia mekar kecamatan tambun selatan kabupaten bekasi jawa barat,09-06-2025,JAWA BARAT,Wilayah II,Bayu Arifandi,Yayasan Al-Rahman Sulaiman Bekasi,-6.24677,107.03754
SPPG Pangandaran Pangandaran Pananjung 2,"Jalan Bojong Gebang, Rt 03/Rw 04, Dusun Bojong Jati, Desa Pananjung, Kecamatan Pangandaran, Kabupaten Pangandaran, Provinsi Jawa Barat, Kode Pos 46396",09-09-2025,JAWA BARAT,Wilayah II,Yusdhitiar Gunawan,,-7.67543,108.6483
SPPG Kota Depok Pancoran Mas Mampang 1,"Jl. Damai 1 Mampang Pancoran Mas Depok, Mampang, Kota Depok, Jawa Barat",09-09-2025,JAWA BARAT,Wilayah II,Mustika Fie Salsabila,,-6.39079,106.79759
SPPG Kota Bogor Bogor Tengah Paledang 2,"Jl. Selot No.34 Rt004/Rw05, Paledang, Bogor Tengah, Kota Bogor, Jawa Barat",09-09-2025,JAWA BARAT,Wilayah II,Nurlita Permatasari,,-6.59788,106.79325
SPPG Kuningan Ciawigebang Sidaraja 2,"Jl. Raya Sidaraja Lebaksiuh No. 81 Blok Jatikidul Dusun Manis Rt 001 Rw 001 Desa Sidaraja Kecamatan Ciawigebang Kabupaten Kuningan, Jawa Barat ",09-09-2025,JAWA BARAT,Wilayah II,Tri Eka Martiana Ruswanto,,-6.97429,108.55899
SPPG Garut Cilawu Desakolot,"Jl. Genteng Munjul Rt 002 Rw 005, Desakolot, Cilawu, Kabupaten Garut, Jawa Barat",09-09-2025,JAWA BARAT,Wilayah II,Ade Agung Mareta Diana,,-7.24726,107.88042
SPPG Tasikmalaya Kadipaten Pamoyanan 2,"Jalan Raya Malangbong, Desa Pamoyanan, Kecamatan Kadipaten, Kabupaten Tasikmalaya, Provinsi Jawa Barat",09-09-2025,JAWA BARAT,Wilayah II,Ade Rizki Maulana,,-7.12468,108.15429
SPPG Garut Cisurupan Cisurupan 1,"Jl. Raya Cisurupan No. 154, Cisurupan, Cisurupan, Kab. Garut, Jawa Barat",09-09-2025,JAWA BARAT,Wilayah II,Abdul Rafli Salam Jaohari,,-7.3113,107.7924
SPPG Bandung Dayeuhkolot Cangkuang Kulon,"Jl. Sindang Palay No 8, Cangkuang Kulon, Dayeuhkolot, Kab. Bandung, Jawa Barat",09-09-2025,JAWA BARAT,Wilayah II,Firman Ferdiansyah,,-6.97888,107.5917
SPPG Bandung Cikancung Cikasungka 2,"Kampung Cilulumpang No.148, Rt.01 Rw.02, Cikasungka, Cikancung, Kab. Bandung, Jawa Barat",09-09-2025,JAWA BARAT,Wilayah II,Faizal Muhamad Toha,,-7.00827,107.82045
SPPG Garut Pasirwangi Sirnajaya,"Jl. Pasirwangi, Sirnajaya, Kecamatan Pasirwangi, Kabupaten Garut, Jawa Barat",09-09-2025,JAWA BARAT,Wilayah II,Egy Tri Budiarto,,-7.21591,107.78398
SPPG Karawang Klari Gintungkerta,"Jl. Jati, Desa Gintungkerta, Kecamatan Klari, Kabupaten Karawang, Provinsi Jawa Barat",09-09-2025,JAWA BARAT,Wilayah II,Samsuri Sirait,,-6.34796,107.34386
SPPG Bandung Margaasih Lagadar 2,"Bl. Ranca Lagadar Rt. 002 Rw. 010, Lagadar, Margaasih, Kab. Bandung, Jawa Barat",09-09-2025,JAWA BARAT,Wilayah II,Siti Hutami Putri Pratiwi,,-6.93197,107.53918
SPPG Tasikmalaya Sariwangi Selawangi,"Kampung Cilenga Rt 002 Rw 003, Selawangi, Sariwangi, Kab. Tasikmalaya, Jawa Barat",09-09-2025,JAWA BARAT,Wilayah II,Dindin Mochamad Nurjaman,,-7.3435,108.2288
SPPG Kota Depok Limo Grogol,"Desa Grogol Kecamatan Limo Kota Depok Jawa Barat , Grogol, Limo, Kota Depok, Jawa Barat",09-09-2025,JAWA BARAT,Wilayah II,Muhammad Fika Habibi,,-6.37187,106.79514
SPPG Indramayu Indramayu Karangsong 2,"Jl. Tambak Raya, Karangsong Kecamatan Indramayu, Kabupaten Indramayu, Jawa Barat",09-09-2025,JAWA BARAT,Wilayah II,RIZKY AMELLIA,,-6.31114,108.35869
SPPG Bandung Ciparay Pakutandang 2,Jl. Raya Pacet No 24B Rt. 01 Rw.11 Desa Pakutandang Kecamatan Ciparay Kabupaten Bandung Provinsi Jawa Barat,09-09-2025,JAWA BARAT,Wilayah II,Muhammad Hilmi Difasya Hibatulloh,,-7.05676,107.70902
SPPG Ciamis Ciamis Linggasari,"Jl. Ir H Juanda  No 18 A Sikuraja Linggasari Kecamatan Ciamis, Linggasari, Ciamis, Kab. Ciamis, Jawa Barat",09-09-2025,JAWA BARAT,Wilayah II,Gema Fahmi Bahriadi,,-7.32706,108.35678
SPPG Pangandaran Cigugur Cimindi 2,"Jl. Jurago Desa Cimindi, Kecamatan Cigugur, Kabupaten Pangandaran, Jawa barat",09-09-2025,JAWA BARAT,Wilayah II,Dicky Arief Hidayat,,-7.63664,108.42149
SPPG Tasikmalaya Rajapolah Rajapolah 2,"Kampung Pukes, Rajapolah, Rajapolah, Kab. Tasikmalaya, Jawa Barat",09-09-2025,JAWA BARAT,Wilayah II,Aldi Firmansyah,,-7.23726,108.18963
SPPG Ciamis Kawali Winduraja 2,"Jl. Kawali Cirebon, Dusun Sukahurip, Desa Winduraja, Kec. Kawali, Kab. Ciamis, Jawa Barat",09-09-2025,JAWA BARAT,Wilayah II,Dena Dewantara,,-7.17242,108.36611
SPPG Tasikmalaya Pagerageung Pagerageung,"Pagerageung Kulon RT 002/RW 001, Desa Pagerageung, Kecamatan Pagerageung, Kabupaten Tasikmalaya, Provinsi Jawa Barat",09-09-2025,JAWA BARAT,Wilayah II,Muhamad Nirwan Gunawan,,-7.11311,108.16297
SPPG Bekasi Tarumajaya Pantai Makmur,"Kampung Sungai Atap Rt 01/01 , Pantai Makmur, Tarumajaya, Kab. Bekasi, Jawa Barat",09-09-2025,JAWA BARAT,Wilayah II,Irfan Maulana Fadilla,,-6.11826,106.9973
SPPG Kota Cirebon Lemahwungkuk Pegambiran 2,"Jl. Jendral Ahmad Yani Kampung Sirandu, Pegambiran, Kec. Lemahwungkuk, Kota Cirebon, Jawa Barat",09-10-2025,JAWA BARAT,Wilayah II,Renita Ayu Septya Putri,,-6.73974,108.58049
SPPG Bogor Cigombong Cisalada,"Kampung Cisalada Rt 02 / Rw 10, Desa. Cisalada, Kec. Cigombong, Kabupaten Bogor, Jawa Barat",09-10-2025,JAWA BARAT,Wilayah II,Muhammad Rizky Kurniadi,,-6.73318,106.79332
SPPG Kota Depok Tapos Jatijajar,"Jl. Raya Bogor Km.35,5 No.85, Rt.004/Rw.03, Jatijajar, Kec. Tapos, Kota Depok, Jawa Barat ",09-10-2025,JAWA BARAT,Wilayah II,Daniel Singgih Anditya Bagaskara,,-6.41778,106.85868
SPPG Indramayu Lelea Tunggulpayung,"Jl. Raya Tugu Wnasari, Tunggul Payung, Kecamatan Lelea, Kabupaten Indramayu, Jawa Barat",09-10-2025,JAWA BARAT,Wilayah II,Rizki Kasidi Nurulfazri,,-6.51442,108.22062
SPPG Kota Cimahi Cimahi Tengah Padasuka 2,"Jl. Panembakan No.60 Rt01/06 Kel. Padasuka, Kec. Cimahi Tengah, Kota Cimahi Jawa Barat",09-10-2025,JAWA BARAT,Wilayah II,Muhammad Delvino Refaya Setiawan,,-6.87963,107.52992
SPPG Bogor Nanggung Hambaro,"Jl. Raya Pasir Eurih Rt 002/Rw 005 Desa Hambaro, Kec. Nanggung, Kab.Bogor",09-10-2025,JAWA BARAT,Wilayah II,Sri Haryati,,-6.57558,106.55797
SPPG Bogor Ciawi Banjar Wangi,"Jl. Pekan Baru Kavling Usu No. 46 Rt 01/02 Desa Banjar Wangi Kecamatan Ciawi Kabupaten Bogor, Jawa Barat",09-10-2025,JAWA BARAT,Wilayah II,Muhamad Aulia Solahudin,,-6.67635,106.85937
SPPG Kota Banjar Langensari Waringinsari,"Dusun Sukarahayu Rt.002 Rw.007, Waringinsari,  Kecamatan Langensari, Kota Banjar, Jawa Barat",09-10-2025,JAWA BARAT,Wilayah II,Melia Haerunnissa,,-7.35896,108.64514
